* * * * * * * * *
Parameters => Max Epochs: 100, Learning Rate: 1.000000
Type of network used: SimpleNetwork
Input Nodes: 36, Hidden Nodes: 0, Output Nodes: 2
* * * * * * * * *
35 Error: 0.36055556 0.335 0.375
36 Error: 0.36044444 0.337 0.376
37 Error: 0.35944444 0.337 0.377
38 Error: 0.35922222 0.337 0.377
39 Error: 0.35888889 0.336 0.376
40 Error: 0.35844444 0.337 0.376
41 Error: 0.35788889 0.338 0.374
42 Error: 0.35733333 0.338 0.374
43 Error: 0.35700000 0.338 0.375
44 Error: 0.35666667 0.337 0.374
45 Error: 0.35622222 0.336 0.373
46 Error: 0.35566667 0.337 0.373
47 Error: 0.35555556 0.339 0.372
48 Error: 0.35533333 0.340 0.372
49 Error: 0.35533333 0.340 0.372
50 Error: 0.35566667 0.340 0.372
51 Error: 0.35544444 0.340 0.372
52 Error: 0.35566667 0.340 0.373
53 Error: 0.35544444 0.339 0.374
54 Error: 0.35544444 0.339 0.374
55 Error: 0.35533333 0.339 0.373
56 Error: 0.35511111 0.340 0.372
57 Error: 0.35488889 0.340 0.371
58 Error: 0.35444444 0.341 0.371
59 Error: 0.35433333 0.341 0.371
60 Error: 0.35377778 0.339 0.371
61 Error: 0.35411111 0.339 0.371
62 Error: 0.35422222 0.339 0.371
63 Error: 0.35388889 0.339 0.372
64 Error: 0.35411111 0.339 0.372
65 Error: 0.35411111 0.339 0.372
66 Error: 0.35388889 0.338 0.373
67 Error: 0.35366667 0.339 0.373
68 Error: 0.35388889 0.339 0.373
69 Error: 0.35366667 0.339 0.373
70 Error: 0.35377778 0.339 0.375
71 Error: 0.35377778 0.339 0.375
72 Error: 0.35377778 0.340 0.374
73 Error: 0.35366667 0.339 0.374
74 Error: 0.35355556 0.339 0.374
75 Error: 0.35322222 0.339 0.373
76 Error: 0.35322222 0.339 0.373
77 Error: 0.35300000 0.339 0.373
78 Error: 0.35300000 0.339 0.373
79 Error: 0.35277778 0.339 0.373
80 Error: 0.35300000 0.339 0.374
81 Error: 0.35288889 0.340 0.374
82 Error: 0.35277778 0.340 0.373
83 Error: 0.35266667 0.340 0.373
84 Error: 0.35233333 0.340 0.373
85 Error: 0.35211111 0.341 0.373
86 Error: 0.35222222 0.341 0.373
87 Error: 0.35222222 0.341 0.373
88 Error: 0.35222222 0.341 0.374
89 Error: 0.35211111 0.341 0.374
90 Error: 0.35222222 0.340 0.374
91 Error: 0.35233333 0.340 0.374
92 Error: 0.35244444 0.340 0.374
93 Error: 0.35222222 0.340 0.375
94 Error: 0.35222222 0.340 0.375
95 Error: 0.35200000 0.340 0.375
96 Error: 0.35200000 0.340 0.374
97 Error: 0.35222222 0.340 0.374
98 Error: 0.35222222 0.340 0.372
99 Error: 0.35211111 0.340 0.372
100 Error: 0.35233333 0.340 0.371
